event,tiempo,
portflap_start,8/28/2022 21:47:53,
portflap_end,8/28/2022 21:48:53,
portflap_start,8/28/2022 21:50:08,
portflap_end,8/28/2022 21:51:01,
portflap_start,8/28/2022 21:51:50,
portflap_end,8/28/2022 21:52:45,
portflap_start,8/28/2022 21:53:49,
portflap_end,8/28/2022 21:54:46,
portflap_start,8/28/2022 21:55:59,
portflap_end,8/28/2022 21:56:54,
portflap_start,8/28/2022 21:57:39,
portflap_end,8/28/2022 21:58:55,
portflap_start,8/28/2022 22:17:13,
portflap_end,8/28/2022 22:17:42,
portflap_start,8/28/2022 22:18:52,
portflap_end,8/28/2022 22:19:44,
portflap_start,8/28/2022 22:20:56,
portflap_end,8/28/2022 22:21:53,
portflap_start,8/28/2022 22:23:04,
portflap_end,8/28/2022 22:23:39,
portflap_start,8/28/2022 22:24:44,
portflap_end,8/28/2022 22:25:40,
portflap_start,8/28/2022 22:26:53,
portflap_end,8/28/2022 22:27:41,
portflap_start,8/28/2022 22:48:03,
portflap_end,8/28/2022 22:48:57,
portflap_start,8/28/2022 22:50:05,
portflap_end,8/28/2022 22:50:39,
portflap_start,8/28/2022 22:51:53,
portflap_end,8/28/2022 22:52:39,
portflap_start,8/28/2022 22:53:49,
portflap_end,8/28/2022 22:54:37,
portflap_start,8/28/2022 22:55:48,
portflap_end,8/28/2022 22:56:44,
portflap_start,8/28/2022 22:57:51,
portflap_end,8/28/2022 22:58:43,
